RADAR,74.3391
LASER,0.184996
RADAR,1.81005
LASER,0.201401
RADAR,4.2411
LASER,0.160289
RADAR,7.75593
LASER,0.00331816
RADAR,0.486034
LASER,1.08929
RADAR,1.50376
LASER,2.2424
RADAR,4.06156
LASER,0.337393
RADAR,1.9272
LASER,12.4078
RADAR,1.76112
LASER,2.62945
RADAR,1.73785
LASER,1.67359
RADAR,3.6158
LASER,3.95087
RADAR,0.601985
LASER,0.241841
RADAR,2.94586
LASER,3.15731
RADAR,4.42865
LASER,0.469257
RADAR,2.38913
LASER,0.436792
RADAR,7.09313
LASER,0.881321
RADAR,6.78496
LASER,0.68317
RADAR,4.62698
LASER,3.4485
RADAR,4.88543
LASER,1.30106
RADAR,4.12858
LASER,1.15511
RADAR,1.85451
LASER,1.87386
RADAR,0.859788
LASER,0.35246
RADAR,1.44536
LASER,0.605517
RADAR,0.9461
LASER,3.42352
RADAR,3.52987
LASER,2.65871
RADAR,11.0269
LASER,0.882457
RADAR,0.224421
LASER,0.704939
RADAR,1.47987
LASER,2.16714
RADAR,3.85511
LASER,1.23227
RADAR,2.58737
LASER,0.733022
RADAR,0.951219
LASER,0.209216
RADAR,1.79623
LASER,0.424992
RADAR,0.635319
LASER,0.485758
RADAR,4.62423
LASER,0.636054
RADAR,1.73701
LASER,0.213327
RADAR,3.25514
LASER,1.77794
RADAR,1.1283
LASER,0.722043
RADAR,0.688906
LASER,0.58149
RADAR,0.268376
LASER,2.10155
RADAR,0.634056
LASER,4.03325
RADAR,4.07859
LASER,1.19426
RADAR,0.282837
LASER,1.40564
RADAR,2.27468
LASER,3.9186
RADAR,0.575442
LASER,4.16676
RADAR,1.01838
LASER,2.97865
RADAR,2.74724
LASER,0.736155
RADAR,7.13378
LASER,0.914983
RADAR,3.04089
LASER,2.01142
RADAR,4.88918
LASER,0.000317135
RADAR,11.01
LASER,4.66326
RADAR,3.56939
LASER,1.15656
RADAR,3.40014
LASER,1.7847
RADAR,2.11113
LASER,1.04835
RADAR,1.28456
LASER,1.28203
RADAR,0.892264
LASER,0.35209
RADAR,1.3951
LASER,1.26326
RADAR,3.37564
LASER,2.11629
RADAR,8.04817
LASER,3.54142
RADAR,1.33146
LASER,0.0116384
RADAR,1.79653
LASER,0.694434
RADAR,0.275199
LASER,0.14121
RADAR,6.62157
LASER,1.85039
RADAR,6.03651
LASER,3.86988
RADAR,2.44376
LASER,0.905275
RADAR,1.93563
LASER,1.08877
RADAR,6.6972
LASER,0.49274
RADAR,1.73542
LASER,0.32235
RADAR,3.07602
LASER,2.68617
